,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8
1,Afghanistan,Albania,Algeria,Australia,Austria,Belize,Bhutan,Venezuela
2,Benin,Argentina,Angola,Canada,Belgium,Jamaica,"Hong Kong SAR, China",NA
3,Botswana,Armenia,Burundi,New Zealand,Denmark,Malaysia,Laos,NA
4,Burkina Faso,Azerbaijan,Central African Republic,United States,Finland,Trinidad and Tobago,Libya,NA
5,Cameroon,Bahrain,Haiti,NA,Germany,NA,North Cyprus,NA
6,Chad,Bangladesh,Lesotho,NA,Iceland,NA,Uzbekistan,NA
7,Congo (Brazzaville),Belarus,Namibia,NA,Ireland,NA,Vietnam,NA
8,Congo (Kinshasa),Bolivia,Sudan,NA,Luxembourg,NA,NA,NA
9,Ethiopia,Bosnia and Herzegovina,Syria,NA,Malta,NA,NA,NA
10,Gabon,Brazil,NA,NA,Netherlands,NA,NA,NA
11,Ghana,Bulgaria,NA,NA,Norway,NA,NA,NA
12,Guinea,Cambodia,NA,NA,Singapore,NA,NA,NA
13,Iraq,Chile,NA,NA,Sweden,NA,NA,NA
14,Ivory Coast,China,NA,NA,Switzerland,NA,NA,NA
15,Jordan,Colombia,NA,NA,United Kingdom,NA,NA,NA
16,Kenya,Costa Rica,NA,NA,NA,NA,NA,NA
17,Lebanon,Croatia,NA,NA,NA,NA,NA,NA
18,Liberia,Cyprus,NA,NA,NA,NA,NA,NA
19,Madagascar,Czech Republic,NA,NA,NA,NA,NA,NA
20,Malawi,Dominican Republic,NA,NA,NA,NA,NA,NA
21,Mali,Ecuador,NA,NA,NA,NA,NA,NA
22,Mauritania,Egypt,NA,NA,NA,NA,NA,NA
23,Morocco,El Salvador,NA,NA,NA,NA,NA,NA
24,Mozambique,Estonia,NA,NA,NA,NA,NA,NA
25,Niger,France,NA,NA,NA,NA,NA,NA
26,Nigeria,Georgia,NA,NA,NA,NA,NA,NA
27,Palestinian Territories,Greece,NA,NA,NA,NA,NA,NA
28,Rwanda,Guatemala,NA,NA,NA,NA,NA,NA
29,Senegal,Honduras,NA,NA,NA,NA,NA,NA
30,Sierra Leone,Hungary,NA,NA,NA,NA,NA,NA
31,Somalia,India,NA,NA,NA,NA,NA,NA
32,South Africa,Indonesia,NA,NA,NA,NA,NA,NA
33,South Sudan,Iran,NA,NA,NA,NA,NA,NA
34,Tanzania,Israel,NA,NA,NA,NA,NA,NA
35,Togo,Italy,NA,NA,NA,NA,NA,NA
36,Tunisia,Japan,NA,NA,NA,NA,NA,NA
37,Uganda,Kazakhstan,NA,NA,NA,NA,NA,NA
38,Yemen,Kosovo,NA,NA,NA,NA,NA,NA
39,Zambia,Kuwait,NA,NA,NA,NA,NA,NA
40,Zimbabwe,Kyrgyzstan,NA,NA,NA,NA,NA,NA
41,NA,Latvia,NA,NA,NA,NA,NA,NA
42,NA,Lithuania,NA,NA,NA,NA,NA,NA
43,NA,Macedonia,NA,NA,NA,NA,NA,NA
44,NA,Mauritius,NA,NA,NA,NA,NA,NA
45,NA,Mexico,NA,NA,NA,NA,NA,NA
46,NA,Moldova,NA,NA,NA,NA,NA,NA
47,NA,Mongolia,NA,NA,NA,NA,NA,NA
48,NA,Montenegro,NA,NA,NA,NA,NA,NA
49,NA,Myanmar,NA,NA,NA,NA,NA,NA
50,NA,Nepal,NA,NA,NA,NA,NA,NA
51,NA,Nicaragua,NA,NA,NA,NA,NA,NA
52,NA,Pakistan,NA,NA,NA,NA,NA,NA
53,NA,Panama,NA,NA,NA,NA,NA,NA
54,NA,Paraguay,NA,NA,NA,NA,NA,NA
55,NA,Peru,NA,NA,NA,NA,NA,NA
56,NA,Philippines,NA,NA,NA,NA,NA,NA
57,NA,Poland,NA,NA,NA,NA,NA,NA
58,NA,Portugal,NA,NA,NA,NA,NA,NA
59,NA,Qatar,NA,NA,NA,NA,NA,NA
60,NA,Romania,NA,NA,NA,NA,NA,NA
61,NA,Russia,NA,NA,NA,NA,NA,NA
62,NA,Saudi Arabia,NA,NA,NA,NA,NA,NA
63,NA,Serbia,NA,NA,NA,NA,NA,NA
64,NA,Slovakia,NA,NA,NA,NA,NA,NA
65,NA,Slovenia,NA,NA,NA,NA,NA,NA
66,NA,South Korea,NA,NA,NA,NA,NA,NA
67,NA,Spain,NA,NA,NA,NA,NA,NA
68,NA,Sri Lanka,NA,NA,NA,NA,NA,NA
69,NA,Taiwan Province of China,NA,NA,NA,NA,NA,NA
70,NA,Tajikistan,NA,NA,NA,NA,NA,NA
71,NA,Thailand,NA,NA,NA,NA,NA,NA
72,NA,Turkey,NA,NA,NA,NA,NA,NA
73,NA,Turkmenistan,NA,NA,NA,NA,NA,NA
74,NA,Ukraine,NA,NA,NA,NA,NA,NA
75,NA,United Arab Emirates,NA,NA,NA,NA,NA,NA
76,NA,Uruguay,NA,NA,NA,NA,NA,NA